metal_initial_conc,metal_vol,metal_mmol,NaOH_initial_conc,NaOH_vol,NaOH_mmol,K2CO3_initial_conc,K2CO3_vol,K2CO3_mmol,ph,rate,total_vol,metal_total_conc,NaOH_total_conc,K2CO3_total_conc,precipitation_order,XRD,singlephase,destination
3,0.5,1.5,0.5,6,3,0,0,0,13.69897,1,6.5,0.23,0.46,0,1,"Spinel,Fe2O3",FALSE,0227-1
3,0.5,1.5,0.5,6,3,0,0,0,13.69897,6,6.5,0.23,0.46,0,1,"Spinel,Fe2O3",FALSE,0227-5
1,0.5,0.5,0.5,4,2,0,0,0,13.69897,6,4.5,0.11,0.44,0,1,"Spinel,ZnO",FALSE,0227-6
3,0.5,1.5,1,3,3,0,0,0,14,1,3.5,0.43,0.86,0,1,"Spinel,Fe2O3",FALSE,0227-9
1,0.5,0.5,1,2,2,0,0,0,14,1,2.5,0.2,0.8,0,1,"Spinel,ZnO",FALSE,0227-10
0.3,3,0.9,1,1.8,1.8,0,0,0,14,1,4.8,0.19,0.38,0,1,"Spinel,ZnO",FALSE,0227-11
0.1,3,0.3,1,0.6,0.6,0,0,0,14,1,3.6,0.08,0.17,0,1,"Spinel,Fe2O3",FALSE,0227-12
1,0.5,0.5,1,2,2,0,0,0,14,6,2.5,0.2,0.8,0,1,"Spinel,ZnO",FALSE,0227-14
0.3,3,0.9,1,1.8,1.8,0,0,0,14,6,4.8,0.19,0.38,0,1,"Spinel,ZnO",FALSE,0227-15
3,0.3,0.9,0,0,0,0.15,9,1.35,11.73856063,1,9.3,0.1,0,0.15,1,"Spinel,ZnO",FALSE,0227-17
0.3,3,0.9,0,0,0,0.15,9,1.35,11.73856063,1,12,0.08,0,0.11,1,"Spinel,ZnO",FALSE,0227-19
3,0.5,1.5,0,0,0,0.15,9,1.35,11.73856063,6,9.5,0.16,0,0.14,1,"Spinel,?",FALSE,0227-21
0.3,3,0.9,0,0,0,0.15,9,1.35,11.73856063,6,12,0.08,0,0.11,1,"Spinel,ZnO",FALSE,0227-23
3,0.5,1.5,0,0,0,0.45,3,1.35,11.97712125,1,3.5,0.43,0,0.39,1,"Spinel,Fe2O3",FALSE,0227-25
0.3,3,0.9,0,0,0,0.45,3,1.35,11.97712125,1,6,0.15,0,0.23,1,"Spinel,ZnO",FALSE,0227-27
3,0.5,1.5,0,0,0,0.45,3,1.35,11.97712125,6,3.5,0.43,0,0.39,1,"Spinel,Fe2O3",FALSE,0227-29
0.3,3,0.9,0,0,0,0.45,3,1.35,11.97712125,6,6,0.15,0,0.23,1,"Spinel,ZnO",FALSE,0227-31
0.3,3,0.9,0.5,3.6,1.8,0,0,0,13.69897,6,6.6,0.14,0.27,0,1,spinel,FALSE,0227-7
1,0.5,0.5,0,0,0,0.15,5,0.75,11.73856063,1,5.5,0.09,0,0.14,1,spinel,TRUE,0227-18
1,0.5,0.5,0,0,0,0.15,5,0.75,11.73856063,6,5.5,0.09,0,0.14,1,spinel,TRUE,0227-22
1,0.5,0.5,0,0,0,0.45,1.67,0.75,11.97712125,1,2.17,0.23,0,0.35,1,spinel,TRUE,0227-26
1,0.5,0.5,0,0,0,0.45,1.67,0.75,11.97712125,6,2.17,0.23,0,0.35,1,spinel,TRUE,0227-30
0.3,1.5,0.45,2,0.45,0.9,0,0,0,14.30103,1,1.95,0.23,0.46,0,0,"Spinel,Fe2O3",FALSE,0215-13
0.3,1.5,0.45,2,0.45,0.9,0,0,0,14.30103,6,1.95,0.23,0.46,0,0,spinel,FALSE,0215-15
0.3,1.5,0.45,0,0,0,0.45,1.5,0.68,11.97712125,1,3,0.15,0,0.23,0,spinel,TRUE,0215-27
0.3,1.5,0.45,0,0,0,0.45,1.5,0.68,11.97712125,6,3,0.15,0,0.23,0,"Spinel,ZnO",FALSE,0215-29
1.8,0.42,0.75,0,0,0,0.11,12.82,1.35,11.67121134,4,13.24,0.06,0,0.1,1,"spinel,?",FALSE,0319-1
0.22,4.46,1,0,0,0,0.31,5.86,1.8,11.89619584,2,10.32,0.1,0,0.17,1,"spinel, ZnO",FALSE,0319-2
1.65,0.91,1.5,0,0,0,0.32,8.31,2.7,11.90308999,4,9.22,0.16,0,0.29,1,ZnO,FALSE,0319-3
1.68,0.89,1.5,0,0,0,0.33,8.26,2.7,11.90977197,6,9.15,0.16,0,0.3,1,ZnO,FALSE,0319-4
2.14,0.7,1.5,0,0,0,0.34,7.88,2.7,11.91625446,1,8.58,0.17,0,0.31,1,"spinel, ZnO",FALSE,0319-5
1.91,0.78,1.5,0,0,0,0.35,7.63,2.7,11.92254902,1,8.41,0.18,0,0.32,1,"spinel, ZnO",FALSE,0319-6
0.25,4,1,0,0,0,0.45,4,1.8,11.97712125,6,8,0.13,0,0.23,1,ZnO,FALSE,0319-7
1.67,0.9,1.5,0,0,0,0.45,6,2.7,11.97712125,6,6.9,0.22,0,0.39,1,ZnO,FALSE,0319-8
2.5,0.4,1,0,0,0,0.28,6.43,1.8,11.87409401,2,6.83,0.15,0,0.26,1,ZnO,FALSE,0319-9
1.67,0.45,0.75,0.28,6.38,1.8,0,0,0,13.44715803,6,6.83,0.11,0.26,0,1,spinel,FALSE,0319-10
0.49,2.06,1,0.28,8.6,2.4,0,0,0,13.44715803,4,10.66,0.09,0.23,0,1,spinel,TRUE,0319-11
1.64,0.61,1,0.28,8.51,2.4,0,0,0,13.44715803,6,9.11,0.11,0.26,0,1,"spinel, ZnO",FALSE,0319-12
1.96,0.77,1.5,0.3,12.03,3.6,0,0,0,13.47712125,4,12.8,0.12,0.28,0,1,spinel,TRUE,0319-13
0.83,1.8,1.5,1,3.6,3.6,0,0,0,14,6,5.4,0.28,0.67,0,1,"spinel, ZnO,NaCl",FALSE,0319-14
1.67,0.9,1.5,2,1.8,3.6,0,0,0,14.30103,6,2.7,0.56,1.33,0,1,"spinel, ZnO,Fe2O3",FALSE,0319-15
0.12,7.22,0.9,0,0,0,0.22,6.12,1.35,11.82172634,6,13.34,0.07,0,0.1,0,spinel,FALSE,0319-16
0.21,5.65,1.2,0,0,0,0.33,5.48,1.8,11.90977197,3,11.13,0.11,0,0.16,0,"spinel, ZnO",FALSE,0319-19
0.67,1.8,1.2,0,0,0,0.2,9.15,1.8,11.80103,5,10.96,0.11,0,0.16,0,"spinel, ZnO,Fe2O3",FALSE,0319-20
0.2,6,1.2,0,0,0,0.45,4,1.8,11.97712125,6,10,0.12,0,0.18,0,spinel,FALSE,0319-22
1.1,1.64,1.8,0,0,0,0.33,8.16,2.7,11.90977197,2,9.81,0.18,0,0.28,0,spinel,FALSE,0319-23
1.09,1.65,1.8,0,0,0,0.36,7.58,2.7,11.92866625,6,9.23,0.2,0,0.29,0,"spinel,ZnO",FALSE,0319-24
1.48,1.22,1.8,0,0,0,0.34,7.99,2.7,11.91625446,6,9.22,0.2,0,0.29,0,"spinel, NaCl",FALSE,0319-25
0.6,2.99,1.8,0,0,0,0.43,6.22,2.7,11.96724923,2,9.21,0.2,0,0.29,0,"spinel,ZnO",FALSE,0319-26
0.2,6,1.2,1,2.4,2.4,0,0,0,14,6,8.4,0.14,0.29,0,0,spinel,TRUE,0319-28
0.2,6,1.2,1,2.4,2.4,0,0,0,14,6,8.4,0.14,0.29,0,0,spinel,TRUE,0319-29
0.77,1.56,1.2,0.45,5.37,2.4,0,0,0,13.65321251,6,6.93,0.17,0.35,0,0,spinel.Fe2O3,FALSE,0319-30
1,1.8,1.8,1,3.6,3.6,0,0,0,14,1,5.4,0.33,0.67,0,0,spinel.Fe2O3,FALSE,0319-31
0.77,2.34,1.8,0.45,8.05,3.6,0,0,0,13.65321251,6,10.39,0.17,0.35,0,0,spinel.Fe2O3,FALSE,0319-32
0.21,4.71,0.99,0,0,0,0.33,4.57,1.51,11.90977197,3,9.28,0.11,0,0.16,0,,FALSE,0408-normal-#1
0.67,1.5,1.01,0,0,0,0.2,7.63,1.53,11.80103,5,9.13,0.11,0,0.17,0,,FALSE,0408-normal-#2
0.2,5,1,0,0,0,0.45,3.33,1.5,11.97712125,6,8.33,0.12,0,0.18,0,,TRUE,0408-normal-#3
1.1,0.91,1,0,0,0,0.33,4.53,1.49,11.90977197,2,5.44,0.18,0,0.27,0,,FALSE,0408-normal-#4
1.09,0.92,1,0,0,0,0.36,4.21,1.52,11.92866625,6,5.13,0.2,0,0.3,0,,TRUE,0408-normal-#5
1.48,0.68,1.01,0,0,0,0.34,4.44,1.51,11.91625446,6,5.12,0.2,0,0.29,0,,FALSE,0408-normal-#6
0.6,1.66,1,0,0,0,0.43,3.46,1.49,11.96724923,2,5.12,0.19,0,0.29,0,,FALSE,0408-normal-#7
2.57,0.39,1,0,0,0,0.16,9.23,1.48,11.75257499,3,9.62,0.1,0,0.15,0,,FALSE,0408-normal-#8
0.2,5,1,1,2,2,0,0,0,14,6,7,0.14,0.29,0,0,,FALSE,0408-normal-#9
0.2,5,1,1,2,2,0,0,0,14,6,7,0.14,0.29,0,0,,FALSE,0408-normal-#10
0.77,1.3,1,0.45,4.47,2.01,0,0,0,13.65321251,6,5.77,0.17,0.35,0,0,,FALSE,0408-normal-#11
1,1,1,1,2,2,0,0,0,14,1,3,0.33,0.67,0,0,,FALSE,0408-normal-#12
0.77,1.3,1,0.45,4.47,2.01,0,0,0,13.65321251,6,5.77,0.17,0.35,0,0,,FALSE,0408-normal-#13
1.04,0.96,1,0,0,0,0.3,5,1.5,11.88907563,6,5.96,0.17,0,0.25,0,,TRUE,0408-normal-#14
1.37,0.73,1,0,0,0,0.31,4.84,1.5,11.89619584,2,5.57,0.18,0,0.27,0,,FALSE,0408-normal-#15
1.13,0.88,0.99,0,0,0,0.32,4.69,1.5,11.90308999,2,5.57,0.18,0,0.27,0,,FALSE,0408-normal-#16
0.21,4.76,1,0.95,2.11,2,0,0,0,13.97772361,3,6.87,0.15,0.29,0,0,,FALSE,0408-normal-#17
0.55,1.82,1,0.31,6.45,2,0,0,0,13.49136169,3,8.27,0.12,0.24,0,0,,FALSE,0408-normal-#18
0.19,5.26,1,1,2,2,0,0,0,14,3,7.26,0.14,0.28,0,0,,FALSE,0408-normal-#19
0.85,1.18,1,0.36,5.56,2,0,0,0,13.5563025,5,6.74,0.15,0.3,0,0,,FALSE,0408-normal-#20
0.86,1.16,1,0.37,5.41,2,0,0,0,13.56820172,4,6.57,0.15,0.3,0,0,,FALSE,0408-normal-#21
1.08,0.93,1,0.3,6.67,2,0,0,0,13.47712125,2,7.6,0.13,0.26,0,0,,FALSE,0408-normal-#22
1.01,0.99,1,0.44,4.55,2,0,0,0,13.64345268,4,5.54,0.18,0.36,0,0,,FALSE,0408-normal-#23
0.15,6.67,1,1.81,1.1,1.99,0,0,0,14.25767857,6,7.77,0.13,0.26,0,0,,FALSE,0408-normal-#24
0.17,5.88,1,0,0,0,0.41,3.66,1.5,11.95690693,6,9.54,0.1,0,0.16,0,,TRUE,0408-normal-#25
1.44,0.69,0.99,1.46,1.37,2,0,0,0,14.16435286,5,2.06,0.48,0.97,0,0,,FALSE,0408-normal-#26
0.224299065,4.46,1.00037383,0,0,0,0.307167235,4.88,1.498976107,11.89420244,2,9.34,0.107106406,0,0.160489947,1,,FALSE,0409-reverse-#1
1.651376147,0.61,1.00733945,0,0,0,0.324909747,4.62,1.501083031,11.90639637,4,5.23,0.192607925,0,0.287013964,1,,FALSE,0409-reverse-#2
1.682242991,0.59,0.992523365,0,0,0,0.326876513,4.59,1.500363195,11.90770686,6,5.18,0.191606827,0,0.289645404,1,,FALSE,0409-reverse-#3
2.142857143,0.47,1.007142857,0,0,0,0.342639594,4.38,1.500761422,11.91793377,1,4.85,0.207658321,0,0.309435345,1,,FALSE,0409-reverse-#4
1.914893617,0.52,0.995744681,0,0,0,0.353866317,4.24,1.500393184,11.92493461,1,4.76,0.209190059,0,0.315208652,1,,FALSE,0409-reverse-#5
1.666666667,0.6,1,0,0,0,0.45,3.33,1.4985,11.97712125,6,3.93,0.254452926,0,0.38129771,1,,FALSE,0409-reverse-#7
2.5,0.4,1,0,0,0,0.279937792,5.36,1.500466565,11.87404576,2,5.76,0.173611111,0,0.260497668,1,,FALSE,0409-reverse-#8
1.956521739,0.51,0.997826087,0.29925187,6.68,1.999002492,0,0,0,13.47603687,4,7.19,0.138779706,0.278025381,0,1,,TRUE,0409-reverse-#12
0.833333333,1.2,1,1,2,2,0,0,0,14,6,3.2,0.3125,0.625,0,1,,TRUE,0409-reverse-#13
1.666666667,0.6,1,2,1,2,0,0,0,14.30103,6,1.6,0.625,1.25,0,1,,FALSE,0409-reverse-#14
0.93,1.08,1.0044,0,0,0,0.33,4.55,1.5015,11.90977197,1,5.63,0.178401421,0,0.26669627,1,,FALSE,0409-reverse-#15
1.39,0.72,1.0008,0,0,0,0.29,5.17,1.4993,11.881714,2,5.89,0.16991511,0,0.254550085,1,,FALSE,0409-reverse-#16
1.45,0.69,1.0005,0.37,5.41,2.0017,0,0,0,13.56820172,4,6.1,0.164016393,0.328147541,0,1,,TRUE,0409-reverse-#17
0.13,7.69,0.9997,1.22,1.64,2.0008,0,0,0,14.08635983,4,9.33,0.107148982,0.214448017,0,1,,FALSE,0409-reverse-#18
1.43,0.7,1.001,0.35,5.71,1.9985,0,0,0,13.54406804,3,6.41,0.156162246,0.311778471,0,1,,FALSE,0409-reverse-#19
1.09,0.92,1.0028,0.42,4.76,1.9992,0,0,0,13.62324929,5,5.68,0.176549296,0.351971831,0,1,,FALSE,0409-reverse-#20
1.48,0.68,1.0064,0.32,6.25,2,0,0,0,13.50514998,4,6.93,0.145223665,0.288600289,0,1,,FALSE,0409-reverse-#21
1.21,0.83,1.0043,0.24,8.33,1.9992,0,0,0,13.38021124,5,9.16,0.109639738,0.218253275,0,1,,FALSE,0409-reverse-#22
0.6,1.67,1.002,0.34,5.88,1.9992,0,0,0,13.53147892,2,7.55,0.132715232,0.264794702,0,1,,FALSE,0409-reverse-#23
1.28,0.78,0.9984,0.31,6.45,1.9995,0,0,0,13.49136169,3,7.23,0.138091286,0.276556017,0,1,,TRUE,0409-reverse-#24
